Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,STENCIL,0.00000949,0,50000,1,256
GPU,STENCIL,0.00001027,0,50000,2,256
GPU,STENCIL,0.00000930,0,50000,3,256
GPU,STENCIL,0.00001004,0,50000,4,256
CPU,STENCIL,0.00022609,0,50000,0,1
CPU,STENCIL,0.00021207,0,50000,1,1
CPU,STENCIL,0.00020827,0,50000,2,1
CPU,STENCIL,0.00020833,0,50000,3,1
CPU,STENCIL,0.00020834,0,50000,4,1
GPU,STENCIL,0.00000867,1,50000,0,256
GPU,STENCIL,0.00000846,1,50000,1,256
GPU,STENCIL,0.00000849,1,50000,2,256
GPU,STENCIL,0.00000829,1,50000,3,256
GPU,STENCIL,0.00000831,1,50000,4,256
CPU,STENCIL,0.00000000,1,50000,0,1
CPU,STENCIL,0.00000000,1,50000,1,1
CPU,STENCIL,0.00000000,1,50000,2,1
CPU,STENCIL,0.00000000,1,50000,3,1
CPU,STENCIL,0.00000000,1,50000,4,1
GPU,STENCIL,0.00001111,0,100000,0,256
GPU,STENCIL,0.00001094,0,100000,1,256
GPU,STENCIL,0.00001106,0,100000,2,256
GPU,STENCIL,0.00001028,0,100000,3,256
GPU,STENCIL,0.00001074,0,100000,4,256
CPU,STENCIL,0.00042012,0,100000,0,1
CPU,STENCIL,0.00042158,0,100000,1,1
CPU,STENCIL,0.00041647,0,100000,2,1
CPU,STENCIL,0.00041717,0,100000,3,1
CPU,STENCIL,0.00041997,0,100000,4,1
GPU,STENCIL,0.00001003,1,100000,0,256
GPU,STENCIL,0.00000900,1,100000,1,256
GPU,STENCIL,0.00000871,1,100000,2,256
GPU,STENCIL,0.00000889,1,100000,3,256
GPU,STENCIL,0.00000879,1,100000,4,256
CPU,STENCIL,0.00000000,1,100000,0,1
CPU,STENCIL,0.00000000,1,100000,1,1
CPU,STENCIL,0.00000000,1,100000,2,1
CPU,STENCIL,0.00000000,1,100000,3,1
CPU,STENCIL,0.00000000,1,100000,4,1
GPU,STENCIL,0.00001472,0,200000,0,256
GPU,STENCIL,0.00001339,0,200000,1,256
GPU,STENCIL,0.00001404,0,200000,2,256
GPU,STENCIL,0.00001290,0,200000,3,256
GPU,STENCIL,0.00001293,0,200000,4,256
CPU,STENCIL,0.00085390,0,200000,0,1
CPU,STENCIL,0.00083737,0,200000,1,1
CPU,STENCIL,0.00083626,0,200000,2,1
CPU,STENCIL,0.00083524,0,200000,3,1
CPU,STENCIL,0.00083267,0,200000,4,1
GPU,STENCIL,0.00000981,1,200000,0,256
GPU,STENCIL,0.00001008,1,200000,1,256
GPU,STENCIL,0.00000964,1,200000,2,256
GPU,STENCIL,0.00000961,1,200000,3,256
GPU,STENCIL,0.00000976,1,200000,4,256
CPU,STENCIL,0.00000000,1,200000,0,1
CPU,STENCIL,0.00000000,1,200000,1,1
CPU,STENCIL,0.00000000,1,200000,2,1
CPU,STENCIL,0.00000000,1,200000,3,1
CPU,STENCIL,0.00000000,1,200000,4,1
GPU,STENCIL,0.00001801,0,400000,0,256
GPU,STENCIL,0.00001744,0,400000,1,256
GPU,STENCIL,0.00001843,0,400000,2,256
GPU,STENCIL,0.00001750,0,400000,3,256
GPU,STENCIL,0.00001732,0,400000,4,256
CPU,STENCIL,0.00171882,0,400000,0,1
CPU,STENCIL,0.00170498,0,400000,1,1
CPU,STENCIL,0.00168932,0,400000,2,1
CPU,STENCIL,0.00168896,0,400000,3,1
CPU,STENCIL,0.00168509,0,400000,4,1
GPU,STENCIL,0.00001125,1,400000,0,256
GPU,STENCIL,0.00002654,1,400000,1,256
GPU,STENCIL,0.00001138,1,400000,2,256
GPU,STENCIL,0.00001163,1,400000,3,256
GPU,STENCIL,0.00001146,1,400000,4,256
CPU,STENCIL,0.00000000,1,400000,0,1
CPU,STENCIL,0.00000000,1,400000,1,1
CPU,STENCIL,0.00000000,1,400000,2,1
CPU,STENCIL,0.00000000,1,400000,3,1
CPU,STENCIL,0.00000000,1,400000,4,1
GPU,STENCIL,0.00002640,0,800000,0,256
GPU,STENCIL,0.00002623,0,800000,1,256
GPU,STENCIL,0.00002672,0,800000,2,256
GPU,STENCIL,0.00003785,0,800000,3,256
GPU,STENCIL,0.00002645,0,800000,4,256
CPU,STENCIL,0.00340596,0,800000,0,1
CPU,STENCIL,0.00335627,0,800000,1,1
CPU,STENCIL,0.00329149,0,800000,2,1
CPU,STENCIL,0.00333593,0,800000,3,1
CPU,STENCIL,0.00331638,0,800000,4,1
GPU,STENCIL,0.00001552,1,800000,0,256
GPU,STENCIL,0.00001444,1,800000,1,256
GPU,STENCIL,0.00001499,1,800000,2,256
GPU,STENCIL,0.00001410,1,800000,3,256
