Device,Operation,Time(s),Opt,grid_size,Run,Threads
CPU,ADDVEC,0.00000298,0,1000,0,1
CPU,ADDVEC,0.00000110,0,1000,1,1
CPU,ADDVEC,0.00000113,0,1000,2,1
CPU,ADDVEC,0.00000120,0,1000,3,1
CPU,ADDVEC,0.00000099,0,1000,4,1
GPU,ADDVEC,0.00000817,0,2000,0,1024
GPU,ADDVEC,0.00000790,0,2000,1,1024
GPU,ADDVEC,0.00000797,0,2000,2,1024
GPU,ADDVEC,0.00000796,0,2000,3,1024
GPU,ADDVEC,0.00000772,0,2000,4,1024
CPU,ADDVEC,0.00000171,0,2000,0,1
CPU,ADDVEC,0.00000113,0,2000,1,1
CPU,ADDVEC,0.00000112,0,2000,2,1
CPU,ADDVEC,0.00000112,0,2000,3,1
CPU,ADDVEC,0.00000112,0,2000,4,1
GPU,ADDVEC,0.00000913,0,4000,0,1024
GPU,ADDVEC,0.00000823,0,4000,1,1024
GPU,ADDVEC,0.00000801,0,4000,2,1024
GPU,ADDVEC,0.00000809,0,4000,3,1024
GPU,ADDVEC,0.00000857,0,4000,4,1024
CPU,ADDVEC,0.00000413,0,4000,0,1
CPU,ADDVEC,0.00000224,0,4000,1,1
CPU,ADDVEC,0.00000224,0,4000,2,1
CPU,ADDVEC,0.00000224,0,4000,3,1
CPU,ADDVEC,0.00000225,0,4000,4,1
GPU,ADDVEC,0.00000825,0,8000,0,1024
GPU,ADDVEC,0.00000791,0,8000,1,1024
GPU,ADDVEC,0.00000801,0,8000,2,1024
GPU,ADDVEC,0.00000857,0,8000,3,1024
GPU,ADDVEC,0.00000774,0,8000,4,1024
CPU,ADDVEC,0.00000761,0,8000,0,1
CPU,ADDVEC,0.00000447,0,8000,1,1
CPU,ADDVEC,0.00000452,0,8000,2,1
CPU,ADDVEC,0.00000446,0,8000,3,1
CPU,ADDVEC,0.00000446,0,8000,4,1
GPU,ADDVEC,0.00000851,0,16000,0,1024
GPU,ADDVEC,0.00000824,0,16000,1,1024
GPU,ADDVEC,0.00000818,0,16000,2,1024
GPU,ADDVEC,0.00000802,0,16000,3,1024
GPU,ADDVEC,0.00000803,0,16000,4,1024
CPU,ADDVEC,0.00002125,0,16000,0,1
CPU,ADDVEC,0.00000891,0,16000,1,1
CPU,ADDVEC,0.00000891,0,16000,2,1
CPU,ADDVEC,0.00000890,0,16000,3,1
CPU,ADDVEC,0.00000890,0,16000,4,1
GPU,ADDVEC,0.00000931,0,32000,0,1024
GPU,ADDVEC,0.00000852,0,32000,1,1024
GPU,ADDVEC,0.00000896,0,32000,2,1024
GPU,ADDVEC,0.00000839,0,32000,3,1024
GPU,ADDVEC,0.00000855,0,32000,4,1024
CPU,ADDVEC,0.00004075,0,32000,0,1
CPU,ADDVEC,0.00001732,0,32000,1,1
CPU,ADDVEC,0.00001731,0,32000,2,1
CPU,ADDVEC,0.00001731,0,32000,3,1
CPU,ADDVEC,0.00001730,0,32000,4,1
